Frequency (Hz) - Wvfm 0->Plot 0	Magnitude (response/impact) - Wvfm 0->Plot 0	Frequency (Hz) - Wvfm 1->Plot 0	Phase (deg) - Wvfm 1->Plot 0	Frequency (Hz) - Wvfm 2->Plot 0	Coherence - Wvfm 2->Plot 0	
109	   0,004	109	    -141	109	     0,4	
109,25	 0,00111	109,25	  -142,5	109,25	     0,1	
109,5	 0,00176	109,5	   26,17	109,5	     0,1	
109,75	 0,00253	109,75	  -48,18	109,75	     0,3	
110	  0,0024	110	  -130,1	110	     0,1	
110,25	 0,00176	110,25	   179,1	110,25	     0,1	
110,5	 0,00284	110,5	   27,39	110,5	     0,4	
110,75	 0,00311	110,75	  -8,844	110,75	     0,4	
111	 0,00342	111	  -103,9	111	     0,2	
111,25	 0,00229	111,25	  -139,4	111,25	     0,1	
111,5	 0,00354	111,5	   25,68	111,5	     0,5	
111,75	  0,0033	111,75	   -11,2	111,75	     0,5	
112	 0,00407	112	  -82,53	112	     0,3	
112,25	 0,00369	112,25	  -132,8	112,25	     0,3	
112,5	 0,00197	112,5	   51,16	112,5	     0,2	
112,75	 0,00422	112,75	   8,167	112,75	     0,5	
113	 0,00368	113	  -60,79	113	     0,5	
113,25	 0,00456	113,25	  -101,3	113,25	     0,3	
113,5	   0,001	113,5	   172,9	113,5	     0,1	
113,75	 0,00328	113,75	   29,22	113,75	     0,3	
114	 0,00365	114	  -49,89	114	     0,5	
114,25	 0,00492	114,25	  -95,43	114,25	     0,3	
114,5	 0,00173	114,5	  -158,9	114,5	     0,1	
114,75	 0,00346	114,75	   52,87	114,75	     0,3	
115	 0,00474	115	  -29,21	115	     0,5	
115,25	 0,00593	115,25	  -77,01	115,25	     0,4	
115,5	 0,00512	115,5	  -119,9	115,5	     0,3	
115,75	 0,00219	115,75	   103,1	115,75	     0,1	
116	 0,00407	116	   3,151	116	     0,4	
116,25	 0,00669	116,25	  -72,07	116,25	     0,4	
116,5	 0,00779	116,5	  -110,3	116,5	     0,5	
116,75	 0,00322	116,75	   163,9	116,75	     0,2	
117	 0,00316	117	   51,14	117	     0,2	
117,25	 0,00516	117,25	  -63,83	117,25	     0,4	
117,5	 0,00678	117,5	  -105,5	117,5	     0,4	
117,75	 0,00394	117,75	  -164,6	117,75	     0,2	
